,Step,goal_power_replay,goal,mean,std,y_upper,y_lower,max_possible_return,mean_norm,y_upper_norm,y_lower_norm,agent
0,30,0.85,0.85,83.03844451904297,,,,191.65140287092927,0.43327856344973664,,,pretrain on lower goals
1,61,0.85,0.85,68.11144210585398,21.00441941201625,110.12028092988649,26.10260328182148,191.65140287092927,0.35539234821946347,0.5745863546015824,0.13619834183734464,pretrain on lower goals
2,179,0.85,0.85,58.74557123036181,21.879612186118308,102.50479560259842,14.986346858125195,191.65140287092927,0.3065230431416407,0.5348502232025504,0.07819586308073097,pretrain on lower goals
3,201,0.85,0.85,50.668502901536364,23.94412280933219,98.55674852020074,2.780257282871986,191.65140287092927,0.26437846080187516,0.5142500761477617,0.014506845455988626,pretrain on lower goals
4,226,0.85,0.85,45.479173278411146,23.646194099161676,92.77156147673449,-1.8132149199122054,191.65140287092927,0.2373015412208583,0.484064087645698,-0.009461005203981441,pretrain on lower goals
5,248,0.85,0.85,40.71591682277808,24.024248182750757,88.76441318827959,-7.332579542723437,191.65140287092927,0.21244778912575385,0.46315556191393714,-0.03825998366242944,pretrain on lower goals
6,296,0.85,0.85,36.72154569935166,24.215391022919988,85.15232774519163,-11.709236346488318,191.65140287092927,0.19160593217302133,0.4443083977973218,-0.0610965334512792,pretrain on lower goals
7,348,0.85,0.85,34.51756282918996,23.182073737590596,80.88171030437115,-11.846584645991229,191.65140287092927,0.18010597528699737,0.42202514092131244,-0.06181319034731774,pretrain on lower goals
8,383,0.85,0.85,32.86999512025591,22.163123838543232,77.19624279734236,-11.456252556830556,191.65140287092927,0.17150928523279704,0.402795083369838,-0.059776512904243934,pretrain on lower goals
9,422,0.85,0.85,31.637762518297322,21.186130903773307,74.01002432584394,-10.734499289249293,191.65140287092927,0.16507973353894145,0.3861700108487449,-0.05601054377086201,pretrain on lower goals
10,493,0.85,0.85,30.360747348067928,20.46686208976882,71.29447152760557,-10.572976831469713,191.65140287092927,0.15841651505423554,0.3720007808949876,-0.055167750786516576,pretrain on lower goals
11,540,0.85,0.85,29.31553683735958,19.779256457092057,68.8740497515437,-10.242976076824533,191.65140287092927,0.15296280850656022,0.35937148760621407,-0.0534458705930936,pretrain on lower goals
12,617,0.85,0.85,28.292176700076414,19.223630068315586,66.73943683670758,-10.155083436554758,191.65140287092927,0.14762311298670866,0.34823348974729046,-0.052987263773873146,pretrain on lower goals
13,702,0.85,0.85,27.51315873848355,18.636018286673295,64.78519531183014,-9.75887783486304,191.65140287092927,0.1435583477414602,0.3380366349598848,-0.050919939476964396,pretrain on lower goals
14,768,0.85,0.85,26.918524787331826,18.0489453659816,63.01641551929502,-9.179365944631371,191.65140287092927,0.1404556626463128,0.32880748366728335,-0.04789615837465778,pretrain on lower goals
15,792,0.85,0.85,26.178159884463753,17.623487840409734,61.42513556528322,-9.068815796355715,191.65140287092927,0.13659258159510504,0.320504492245491,-0.04731932905528093,pretrain on lower goals
16,830,0.85,0.85,25.544602550975444,17.20322520348164,59.95105295793873,-8.861847855987836,191.65140287092927,0.13328680180952743,0.31281301394028266,-0.04623941032122781,pretrain on lower goals
17,924,0.85,0.85,24.915050464458666,16.841419611600312,58.59788968765929,-8.767788758741958,191.65140287092927,0.1300019206289771,0.30575246937859873,-0.04574862812064447,pretrain on lower goals
18,1024,0.85,0.85,24.305976206385967,16.520000704412823,57.34597761521161,-8.734025202439678,191.65140287092927,0.1268238888016657,0.29922023400909925,-0.04557245640576786,pretrain on lower goals
19,1042,0.85,0.85,23.760928353837496,16.204728406128638,56.170385166094775,-8.64852845841978,191.65140287092927,0.12397993439077341,0.29308621969192483,-0.045126350910378,pretrain on lower goals
20,1161,0.85,0.85,23.236998966702167,15.917578037388353,55.07215504147887,-8.598157108074538,191.65140287092927,0.12124617205307649,0.28735586704036864,-0.044863522934215645,pretrain on lower goals
21,1281,0.85,0.85,22.735417071190426,15.653077929347404,54.041572929885234,-8.570738787504382,191.65140287092927,0.11862901460993719,0.28197848865359154,-0.044720459433717184,pretrain on lower goals
22,1366,0.85,0.85,22.39895219527078,15.329448315538757,53.05784882634829,-8.259944435806734,191.65140287092927,0.11687340588034055,0.27684560630156696,-0.043098794540885915,pretrain on lower goals
23,1475,0.85,0.85,22.060933662920196,15.034708191307047,52.130350045534286,-8.008482719693898,191.65140287092927,0.115109690471598,0.272006096822794,-0.04178671587959802,pretrain on lower goals
24,1517,0.85,0.85,21.657232262477862,14.801973833529743,51.26117992953735,-7.946715404581624,191.65140287092927,0.11300325454472814,0.26747093505002945,-0.041464425960573155,pretrain on lower goals
25,1603,0.85,0.85,21.29482687696992,14.56853337358851,50.43189362414694,-7.842239870207099,191.65140287092927,0.11111229324687628,0.2631438792968873,-0.04091929280313477,pretrain on lower goals
26,1684,0.85,0.85,20.97566338174607,14.332526381710522,49.64071614516712,-7.6893893816749745,191.65140287092927,0.1094469597797438,0.2590156680386966,-0.040121748479208984,pretrain on lower goals
27,1820,0.85,0.85,20.772582968527495,14.06357844477698,48.89973985808145,-7.354573921026464,191.65140287092927,0.10838732541142486,0.2551493969027389,-0.03837474607988923,pretrain on lower goals
28,1920,0.85,0.85,20.55602694723568,13.816671012535915,48.189368972307506,-7.07731507783615,191.65140287092927,0.10725737792318414,0.25144281883895947,-0.0369280629925912,pretrain on lower goals
29,1971,0.85,0.85,20.587784292122304,13.5416362480519,47.6710567882261,-6.495488203981495,191.65140287092927,0.10742308161442199,0.24873836598175567,-0.03389220275291168,pretrain on lower goals
30,2066,0.85,0.85,20.63306617001139,13.281028816954185,47.195123803919756,-5.928991463896981,191.65140287092927,0.10765935370641173,0.24625503960283596,-0.03093633219001249,pretrain on lower goals
31,2153,0.85,0.85,20.570510717918395,13.034714919791721,46.63994055750184,-5.498919121665047,191.65140287092927,0.10733295144086129,0.24335820066452765,-0.02869229778280508,pretrain on lower goals
32,2262,0.85,0.85,20.476786933311367,12.805179614906685,46.087146163124736,-5.1335722965020025,191.65140287092927,0.10684391883685708,0.24047382629472777,-0.026785988621013588,pretrain on lower goals
33,2317,0.85,0.85,20.442584178729945,12.577648222080201,45.597880622890344,-4.712712265430458,191.65140287092927,0.10666545547019728,0.23792093321434735,-0.02459002227395283,pretrain on lower goals
34,2399,0.85,0.85,20.478734597455556,12.360028015682488,45.19879062882053,-4.24132143390942,191.65140287092927,0.10685408137214258,0.23583855871517093,-0.022130395970885775,pretrain on lower goals
35,2476,0.85,0.85,20.5352366187498,12.1538134381704,44.8428634950906,-3.7723902575910024,191.65140287092927,0.10714889800509096,0.23398139968373072,-0.01968360367354879,pretrain on lower goals
36,2564,0.85,0.85,20.655578070407273,11.970672849512896,44.59692376943306,-3.285767628618519,191.65140287092927,0.10777681645418534,0.23269813370198797,-0.017144500793617318,pretrain on lower goals
37,2624,0.85,0.85,20.758127574802195,11.7904577386301,44.339043052062394,-2.8227879024580034,191.65140287092927,0.1083118999592301,0.23135256193205764,-0.014728762013597445,pretrain on lower goals
38,2719,0.85,0.85,20.80937337198853,11.606913924937137,44.023201221862806,-2.404454477885743,191.65140287092927,0.1085792906300975,0.22970456027139513,-0.01254597901120015,pretrain on lower goals
39,2894,0.85,0.85,20.9169591841841,11.443213110705813,43.803385405595726,-1.969467037227524,191.65140287092927,0.10914065261641191,0.22855760380264903,-0.010276298569825202,pretrain on lower goals
40,3014,0.85,0.85,21.02679726849648,11.287017174923694,43.60083161834387,-1.5472370813509073,191.65140287092927,0.10971376652357362,0.22750071726689916,-0.008073184219751938,pretrain on lower goals
41,3094,0.85,0.85,21.185724488224075,11.157502258624065,43.50072900547221,-1.1292800290240557,191.65140287092927,0.11054301805707074,0.22697840116917106,-0.005892365055029561,pretrain on lower goals
42,3173,0.85,0.85,21.361658191506088,11.043334519525912,43.44832723055791,-0.725010847545736,191.65140287092927,0.11146100613671188,0.2267049788298126,-0.0037829665563888734,pretrain on lower goals
43,3293,0.85,0.85,21.529328275526908,10.930664409630126,43.39065709478716,-0.33200054373334353,191.65140287092927,0.1123358762472831,0.22640406720116366,-0.00173231470659745,pretrain on lower goals
44,3393,0.85,0.85,21.729892690812104,10.844005944557827,43.41790457992776,0.041880801696450476,191.65140287092927,0.11338238262438627,0.22654623931538995,0.00021852593338257887,pretrain on lower goals
45,3492,0.85,0.85,21.8815599807089,10.733476302589507,43.34851258588792,0.41460737552988647,191.65140287092927,0.11417375324638447,0.2261841652945357,0.0021633411982332866,pretrain on lower goals
46,3592,0.85,0.85,22.0260087361493,10.624353333570697,43.2747154032907,0.7773020690079058,191.65140287092927,0.1149274589499513,0.22579910585071353,0.0040558120491890805,pretrain on lower goals
47,3650,0.85,0.85,22.11754684847285,10.497509293013794,43.11256543450044,1.122528262445261,191.65140287092927,0.11540508713817381,0.22495303863512697,0.005857135641220669,pretrain on lower goals
48,3745,0.85,0.85,22.21840928640416,10.37843614534771,42.97528157709958,1.461536995708741,191.65140287092927,0.11593136785629223,0.22423671798552905,0.00762601772705539,pretrain on lower goals
49,3846,0.85,0.85,22.319203665433736,10.263598079669801,42.84639982477334,1.7920075060941336,191.65140287092927,0.11645729345620791,0.223564237897225,0.009350349015190825,pretrain on lower goals
50,3893,0.85,0.85,22.4199977115241,10.1528288459678,42.7256554034597,2.1143400195885,191.65140287092927,0.11698321731891109,0.222934216830304,0.011032217807518145,pretrain on lower goals
51,3955,0.85,0.85,22.600244367151227,10.090859086819673,42.78196254079057,2.4185261935118803,191.65140287092927,0.11792370955078124,0.22322801659637614,0.012619402505186334,pretrain on lower goals
52,4036,0.85,0.85,22.768971127029964,10.024647873727579,42.81826687448512,2.719675379574806,191.65140287092927,0.11880409319186719,0.2234174455968985,0.014190740786835852,pretrain on lower goals
53,4134,0.85,0.85,22.884737161211184,9.93068954359758,42.746116248406345,3.0233580740160235,191.65140287092927,0.11940813799637709,0.2230409775669339,0.015775298425820303,pretrain on lower goals
54,4218,0.85,0.85,23.072872154268676,9.887340446758168,42.84755304778501,3.29819126075234,191.65140287092927,0.12038979004921489,0.22357025519213855,0.01720932490629124,pretrain on lower goals
55,4247,0.85,0.85,23.320036422581268,9.903207721764318,43.1264518661099,3.5136209790526323,191.65140287092927,0.12167944545799397,0.2250254953529044,0.018333395563083547,pretrain on lower goals
56,4310,0.85,0.85,23.62631218069482,9.993256895067752,43.61282597083033,3.639798390559317,191.65140287092927,0.12327753320233373,0.2275633014812946,0.01899176492337287,pretrain on lower goals
57,4377,0.85,0.85,23.96817931786915,10.134696067829443,44.237571453528034,3.698787182210264,191.65140287092927,0.1250613298876341,0.23082310273158052,0.019299557043687656,pretrain on lower goals
58,4451,0.85,0.85,24.335814081950915,10.315151677546545,44.966117437044005,3.705510726857824,191.65140287092927,0.1269795770727557,0.23462451494460054,0.019334639200910834,pretrain on lower goals
59,4514,0.85,0.85,24.768301996897016,10.60431827388216,45.97693854466134,3.5596654491326944,191.65140287092927,0.12923621547178357,0.23989878422974678,0.018573646713820346,pretrain on lower goals
60,4634,0.85,0.85,25.14821792800079,10.795850902064403,46.73991973212959,3.556516123871983,191.65140287092927,0.1312185434141448,0.2438798726853429,0.01855721414294669,pretrain on lower goals
61,4711,0.85,0.85,25.56134408419919,11.0400390886403,47.64142226147979,3.4812659069185905,191.65140287092927,0.1333741558960249,0.2485837387455216,0.018164573046528156,pretrain on lower goals
62,4767,0.85,0.85,26.061383048812864,11.442233605066376,48.94585025894561,3.176915838680113,191.65140287092927,0.135983262623777,0.2553899920675717,0.016576533179982294,pretrain on lower goals
63,4862,0.85,0.85,26.554043677346943,11.814846123949351,50.18373592524564,2.9243514294482402,191.65140287092927,0.13855387061909583,0.26184904035919154,0.015258700879000045,pretrain on lower goals
64,4906,0.85,0.85,27.09348376390915,12.269320900289783,51.63212556448872,2.554841963329583,191.65140287092927,0.1413685647902911,0.26940645771980704,0.013330671860775172,pretrain on lower goals
65,4944,0.85,0.85,27.74116012036181,12.947408827234062,53.63597777482993,1.8463424658936844,191.65140287092927,0.14474801491040762,0.2798621714809567,0.009633858339858506,pretrain on lower goals
66,5038,0.85,0.85,28.393510220548187,13.598780503287434,55.59107122712305,1.1959492139733179,191.65140287092927,0.14815185172252693,0.29006347146105554,0.006240231983998307,pretrain on lower goals
